Blog	months	soon	does	put	times	coming	hours	same	nice	family	once	able	yes	yet	whole	live	give	try	man	bad	morning	wanted	full	without	job	play	friend	someone	least	ago	told	making	together	doesn	believe	far	past	during	might	free	music	makes	point	later	keep	nbsp	already	beautiful	its	stop	until	quite	saw	different	kids	stuff	thanks	room	remember	read	crazy	watch	side	girl	almost	picture	kind	person	call	heart	weeks	mean	taking	won	guess	name	nothing	mind	called	working	small	amazing	change	real	used	head	hear	decided	happened	wait	book	sometimes	hand	set	fact	check	asked	three	children	must	story	wasn	run	isn	behind	leave	open	car	seen	seems	summer	wrong	couple	video	month	pictures	lost	goes	else	idea	god	use	high	trip	baby	stay	amp	half	excited	face	talk	knew	mom	song	boy	short	gone	reading	looks	top	cool	thinking	living	yesterday	playing	party	weekend	interesting	felt	late	moment	spent	money	watching	second	along	haven	probably	saying	lots	turned	hour	funny	comes	anyway	christmas	care	wish	under	instead	couldn	thank	water	words	special	gave	fall	enjoy	rest	running	birthday	white	waiting	ones	feeling	ended	wonder	turn	food	black	talking	awesome	city	heard	happen	between	anyone	eyes	gets	hot	busy	learn	guy	ask	girls	inside	loved	boys	favorite	write	tried	whatever	group	especially	please	needed	perfect	close	however	dinner	sweet	cold	moved	sunday	move	reason	ready	knows	walk	break	early	dad	says	tonight	tomorrow	list	rather	possible	seeing	cute	fast	four	young	true	taken	wonderful	hands	either	outside	miss	definitely	super	others	loves	sleep	moving	parents	sorry	hair	saturday	town	bring	means	important	class	easy	sad	age	front	line	com	bed	matter	guys	totally	spend	looked	country	worked	body	game	seem	less	chance	share	often	phone	writing	hit	wants	experience	huge	worth	update	yeah	lives	news	bought	buy	woman	due	usually	park	although	light	played	movie	sound	needs	self	listen	child	sister	starting	minutes	project	church	band	enjoyed	eat	kid	mother	etc	event	women	seriously	company	become	american	cause	met	across	entire	future	imagine	number	plan	red	several	mine	against	walking	wouldn	five	facebook	feels	meet	visit	sitting	case	friday	shows	forward	hate	air	completely	rock	single	given	word	yourself	ride	final	exactly	fine	sort	longer	quick	door	books	problem	men	deal	joy	date	pick	sense	kept	store	understand	center	random	table	large	photo	album	cannot	lol	takes	dream	sounds	finished	stand	glad	sit	alone	business	state	piece	minute	realized	using	http	father	cut	blue	hopefully	stuck	proud	version	okay	april	weather	walked	giving	works	songs	support	death	spring	within	based	street	simple	july	wall	brought	note	upon	dance	answer	forget	serious	brother	ways	passed	paper	evening	telling	afternoon	figure	wrote	leaving	finish	middle	recently	sign	dark	hey	gonna	meant	beach	forever	listening	quickly	complete	hoping	building	headed	normal	pay	road	view	following	watched	lately	born	turns	learned	camera	august	beginning	happens	team	information	sent	stage	lady	strong	march	halloween	www	themselves	drive	october	site	dog	games	plus	known	tired	hold	smile	currently	monday	office	learning	eating	track	catch
IceColdGeek	0	2	0	0	0	2	0	2	1	3	0	3	0	1	3	0	1	1	6	1	1	0	0	1	0	1	0	0	0	1	0	0	0	2	1	1	2	0	3	0	5	2	4	1	0	0	1	0	10	0	2	0	1	1	3	5	0	1	0	0	2	0	1	0	1	0	1	4	0	0	0	4	0	0	2	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	2	0	3	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	14	1	1	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	0	1	0	0	0	3	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	4	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neil storey @ storeys	9	2	10	12	8	9	10	18	0	1	11	9	19	31	11	30	8	4	14	5	12	7	7	9	3	6	4	18	8	6	3	4	6	2	5	17	14	13	8	9	29	3	11	34	5	27	6	2	58	4	6	17	6	6	0	5	2	12	5	3	0	2	20	2	5	3	4	7	3	4	5	5	4	6	1	7	13	8	8	3	3	0	10	13	1	18	2	1	3	9	6	1	15	25	11	2	4	21	4	6	2	14	15	15	13	4	5	11	7	3	6	9	16	6	2	1	5	8	5	8	3	8	17	2	3	0	4	5	2	6	0	1	0	34	2	6	7	3	7	13	3	5	1	3	6	3	3	2	6	14	16	2	8	7	10	19	4	18	8	2	4	11	1	5	2	1	5	1	8	1	8	2	5	5	5	2	2	3	3	8	0	6	2	1	3	0	9	7	2	11	5	0	2	11	5	13	13	1	8	5	5	3	2	5	1	8	1	5	0	3	2	5	12	5	11	0	2	4	8	2	3	3	4	4	4	6	9	5	2	12	14	7	11	4	0	8	9	9	6	0	13	8	4	6	6	1	1	16	6	2	1	3	8	0	1	2	0	2	5	1	7	5	12	3	2	2	3	3	12	14	2	3	7	3	6	1	4	2	4	3	5	2	10	6	0	4	7	4	3	2	0	1	3	0	9	1	7	2	2	2	5	1	5	3	5	8	1	18	1	12	3	2	0	9	21	3	0	43	0	2	0	3	7	9	2	0	2	1	1	1	1	12	10	4	8	9	8	2	0	3	13	4	1	12	4	2	3	2	5	5	1	6	9	0	16	1	8	5	3	5	0	4	27	5	4	3	1	1	13	3	3	6	3	0	3	0	3	6	1	5	1	2	6	5	0	34	1	0	4	1	5	5	10	0	4	7	6	7	2	3	0	4	2	1	1	5	1	4	3	11	0	7	0	4	3	2	17	0	3	1	15	2	8	6	11	5	3	3	4	1	1	3	2	2	4	2	2	11	1	12	5	1	0	1	4	2	3	8	6	5	2	1	1	7	5	2	1	4	2	1	4	22	4	0	1	0	0	1	2	1	5	0	5	10	8	2	14	3	2	12	0	2	2	1	3	3	3	4	5	5	0	2	0	3	2	3	0	1	34	1
DragonFlies and Cocktails	1	0	2	0	1	1	2	1	2	2	1	1	0	2	0	1	3	1	1	1	2	0	0	0	1	0	6	2	3	1	2	2	1	2	1	1	1	2	2	1	1	5	2	0	0	0	0	0	1	0	2	1	0	1	0	0	1	1	0	2	3	0	0	1	0	0	2	3	0	1	4	5	3	2	0	0	1	3	0	5	0	0	1	0	1	0	1	0	0	1	2	0	1	0	1	1	0	1	0	2	0	0	0	2	0	0	0	0	1	3	0	0	2	3	2	0	0	2	1	0	2	0	0	0	0	1	0	0	0	2	2	0	0	3	0	0	0	0	0	0	1	2	3	0	0	0	2	0	0	0	2	0	1	0	0	0	3	1	0	0	0	0	2	0	0	0	3	2	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	3	0	2	1	0	0	0	0	0	2	0	0	0	0	1	1	1	1	2	2	0	0	1	0	1	5	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	2	0	1	2	0	1	0	0	0	2	0	0	1	4	0	2	1	0	0	1	0	0	0	0	2	0	2	0	2	1	1	0	2	0	0	1	0	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	1	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	3	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	2	2	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	1	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0
The Sorensen Scoop	1	5	1	0	3	2	0	1	0	6	5	3	4	0	1	0	4	0	0	2	0	4	0	1	2	1	1	0	1	2	0	1	2	0	3	1	0	0	0	0	0	0	2	0	3	0	2	1	2	2	1	2	0	0	7	0	3	1	0	0	1	2	0	2	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	3	0	1	0	0	0	2	0	2	0	0	0	1	2	0	0	0	0	0	2	0	2	1	1	2	0	2	0	0	1	2	1	0	0	3	0	1	0	0	1	1	1	0	0	2	0	0	7	2	1	0	3	0	5	0	2	0	1	0	0	0	3	0	3	3	2	0	0	0	0	0	0	0	1	3	0	1	1	3	4	0	2	0	0	6	0	0	0	1	0	0	1	0	0	0	1	0	1	0	6	1	2	0	0	2	0	1	2	3	0	1	2	0	0	0	1	0	0	3	6	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	4	2	1	0	1	0	2	7	2	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	2	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	4	0	0	0	0	1	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	2	1	0
Princess Amy's Hideout	1	1	6	5	4	0	0	0	0	4	0	1	3	0	0	3	3	1	17	1	1	0	0	1	0	4	3	3	1	1	0	2	1	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	6	2	0	0	2	1	0	0	1	3	0	1	0	5	0	9	1	0	0	0	3	2	0	5	0	2	1	2	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	2	2	1	1	2	1	0	0	0	3	1	3	0	2	4	0	0	1	3	2	0	0	0	0	0	0	0	1	0	3	0	11	0	6	0	0	1	0	0	0	4	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	2	0	1	1	7	0	1	0	0	1	1	1	0	0	0	0	2	0	1	2	1	6	0	0	1	1	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	5	1	0	0	0	1	2	0	0	2	1	0	1	0	2	1	1	0	2	0	0	0	0	0	1	2	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	4	0	1	1	0	1	0	0	0	1	0	1	1	2	0	0	1	0	0	1	0	0	6	0	0	0	0	0	1	1	0	2	8	0	1	0	1	2	0	1	1	0	5	1	0	1	1	0	0	3	1	0	0	3	1	0	0	0	0	1	0	0	1	0	0	1	0	3	0	2	0	1	2	1	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	2	2	0	5	1	0	1	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	2	0	0	0	0	1	0	2	0	0	0	4	0	1	0	2	1	1	0	0	0	0	0	3	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	0	1	0	1
Academic related....	7	3	3	1	1	3	2	3	1	1	2	8	1	2	1	3	2	5	3	4	1	3	3	4	13	0	4	6	4	6	2	1	5	6	2	12	2	2	9	3	1	2	3	0	3	25	0	2	21	2	3	4	1	6	1	3	0	0	3	1	2	1	1	1	4	1	3	4	2	1	10	4	1	3	0	2	5	0	0	13	1	1	4	2	2	4	0	3	5	0	2	2	3	6	4	1	5	3	4	0	0	2	2	8	4	2	7	0	3	4	3	0	8	0	4	0	1	2	1	2	0	1	2	3	2	3	0	2	0	1	0	5	0	0	1	2	1	5	2	8	6	1	0	2	0	0	5	2	1	4	6	3	1	2	3	0	7	3	0	1	0	4	0	1	2	1	0	4	4	1	1	1	0	10	0	2	1	2	6	3	1	1	0	2	4	0	1	2	1	0	1	0	4	0	3	2	2	0	3	0	3	4	1	1	0	1	1	0	0	8	1	0	1	0	3	1	3	2	4	4	0	0	2	2	1	1	1	2	0	2	5	0	0	0	2	0	7	1	2	0	0	1	0	1	1	6	2	3	1	0	3	1	1	1	1	2	1	1	0	4	3	2	1	2	0	1	0	0	1	2	0	2	3	0	2	3	0	7	5	2	1	4	3	2	1	3	2	6	0	0	2	0	2	3	0	1	0	3	0	1	4	0	0	5	1	0	1	0	1	0	0	1	3	3	0	0	0	0	1	0	0	7	5	0	3	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	2	2	1	0	3	0	0	0	1	2	0	0	2	0	2	0	1	1	1	0	0	0	2	0	1	2	0	1	2	3	0	0	0	2	2	0	0	0	6	0	0	0	2	0	0	0	0	2	0	1	1	1	4	0	0	0	1	0	0	0	7	0	3	0	0	5	1	0	1	0	0	0	0	1	0	0	4	1	2	1	3	3	1	3	1	1	0	1	0	1	0	4	0	0	0	0	0	1	2	1	0	1	4	0	1	0	0	0	0	2	0	0	2	0	1	3	2	1	3	0	0	1	1	1	0	1	0	0	0	2	1	1	0	3	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1	0	0	0	2	1	2	4	1	0	4
The Miller Family	1	2	5	1	3	1	1	1	4	4	3	3	3	1	7	0	3	4	3	3	1	3	2	3	3	2	2	0	2	1	3	3	0	4	1	1	2	1	0	1	0	1	0	0	3	0	1	8	2	0	0	2	1	3	4	0	2	1	2	1	3	3	5	5	1	1	5	2	4	2	2	0	0	0	3	0	2	1	0	1	4	1	0	0	0	2	1	5	2	2	0	3	3	2	1	1	1	4	10	0	0	3	2	1	3	0	0	0	2	1	11	0	2	0	1	2	0	1	1	0	0	1	0	4	4	0	0	3	1	0	0	0	6	0	1	1	0	1	2	1	2	1	1	0	1	2	1	0	1	0	5	3	0	5	1	4	2	1	0	4	3	0	2	4	0	0	3	2	0	0	0	1	1	1	0	2	1	1	1	2	3	1	0	0	0	6	0	2	2	0	1	2	1	1	2	1	2	2	1	3	0	1	1	1	31	2	4	2	2	0	0	1	2	3	2	2	3	2	1	1	4	0	0	0	1	1	1	2	0	0	0	8	1	0	0	2	0	1	0	7	3	3	0	0	2	3	0	2	1	2	2	0	1	3	0	0	4	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	0	2	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	2	0	2	1	0	3	1	1	0	1	7	5	0	0	1	0	2	0	0	5	4	0	1	0	0	0	1	1	2	4	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	2	1	1	0	1	2	0	0	0	0	0	0	0	0	2	0	1	3	2	0	2	0	0	4	0	1	3	0	3	1	1	1	0	2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	2	1	1	0	2	0	0	0	1	0	0	1	1	0	3	0	3	0	1	1	0	1	1	3	1	2	1	0	1	0	1	0	0	0	0	0	0	1	0	0	8	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	3	2	0	0	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	7	1	0	0	3	0	0	0	0	1	0	0	2	0	0	0	1	0	4	1
Ash Bash	0	2	1	1	0	2	0	2	5	7	1	1	0	2	0	2	3	0	4	3	2	4	0	2	1	4	2	0	0	0	0	2	0	0	2	2	0	1	0	1	0	3	1	1	3	0	2	4	10	0	2	1	1	0	5	3	5	0	1	3	3	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	2	1	0	2	3	0	0	0	1	0	0	1	2	0	0	0	0	3	0	0	1	0	0	1	0	3	0	2	1	0	1	0	2	2	4	0	1	1	2	1	1	0	0	2	0	0	4	0	2	0	2	3	1	0	14	0	3	0	1	1	2	0	0	0	0	2	1	2	0	0	1	1	0	0	0	1	0	1	3	1	0	2	0	0	1	1	2	0	0	1	0	2	1	5	0	0	1	1	0	0	0	0	5	0	1	6	1	2	1	0	1	1	0	4	4	0	0	0	2	0	2	2	1	0	0	1	6	0	1	1	5	0	1	0	0	0	4	0	7	0	0	2	1	2	0	3	0	0	1	0	0	0	1	4	1	0	1	2	1	0	1	15	1	0	0	0	0	0	0	1	3	1	3	0	1	5	2	0	1	0	3	5	0	0	0	0	0	0	1	2	1	1	6	1	0	1	1	0	0	0	1	0	0	1	1	0	0	2	1	0	1	3	0	1	0	1	0	0	0	1	0	0	0	0	5	0	2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	6	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	4	0	4	1	0	0	0	1	0	5	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	4	2	0	0	0	0	0	2	0	0	1	0	9	0	0	1	0	1	0	1	1	0	1	0	0	1
Jon Jon Jon	3	4	5	3	3	12	6	4	0	5	4	6	3	7	6	12	3	4	13	3	5	3	5	3	4	3	7	1	7	4	3	9	4	2	6	3	9	8	5	0	22	2	10	5	4	0	1	1	4	2	4	0	6	2	2	6	2	11	9	0	2	4	5	3	5	6	4	0	6	4	8	2	7	2	1	0	5	7	1	12	7	1	2	2	4	2	2	1	6	5	1	4	3	0	5	1	3	7	0	0	5	10	6	9	3	0	3	6	3	11	4	2	2	4	1	2	3	3	1	4	3	2	7	2	2	1	1	8	1	5	6	2	5	3	1	2	2	1	1	2	0	8	6	4	9	2	8	5	2	1	13	6	3	10	3	1	4	8	3	1	3	6	0	0	9	5	0	1	3	1	2	0	3	2	2	1	1	8	2	3	1	0	1	2	3	0	3	4	8	0	8	0	1	2	7	2	0	8	4	2	3	5	7	6	1	3	5	1	0	0	0	3	0	0	0	1	0	0	0	4	4	5	1	1	2	1	5	2	5	2	1	1	1	3	1	1	3	2	4	1	5	2	4	2	1	0	4	1	3	1	0	0	8	0	1	0	3	0	2	3	9	1	7	3	0	3	0	4	7	5	1	2	1	20	3	6	3	6	0	0	2	5	13	3	3	5	2	0	3	0	20	4	5	0	0	0	1	0	1	0	0	4	3	0	2	1	1	10	1	6	11	0	0	0	4	3	3	8	0	6	2	0	7	2	0	5	1	2	2	3	0	6	9	2	2	1	0	1	3	4	5	3	1	1	2	5	0	0	1	7	1	1	5	4	3	3	4	3	3	1	8	0	2	2	1	9	3	3	2	1	1	1	5	4	1	1	7	0	1	2	0	0	1	4	3	2	0	0	1	2	4	2	4	0	3	3	3	1	2	0	2	0	1	0	1	1	1	0	1	4	0	2	1	1	0	2	7	0	3	1	1	4	0	9	0	1	2	3	2	1	0	2	3	1	3	1	0	4	2	3	0	0	1	3	5	0	2	2	2	3	4	0	1	3	1	1	0	4	0	0	1	8	4	2	1	3	1	1	4	2	0	0	0	1	1	0	4	0	1	0	0	1	0	10	0	0	0	7	1	5	1	7	3	1	0	0	2	3	3	3
From My Mind To Your Eyes	9	5	8	12	8	10	4	10	5	0	8	7	2	8	5	10	24	3	7	1	2	1	1	9	3	15	2	6	3	3	4	5	12	13	5	6	3	2	3	2	39	4	11	1	2	0	3	2	1	1	7	4	4	9	1	8	24	4	0	4	5	1	4	4	5	3	5	1	6	2	11	11	4	9	3	5	12	2	12	17	2	0	2	6	2	8	11	0	2	3	5	6	6	13	9	3	2	0	0	1	4	3	3	8	2	3	1	1	2	2	2	3	14	0	1	0	4	7	5	2	13	3	1	0	2	1	4	4	14	1	1	2	2	69	1	2	4	1	4	18	25	2	5	3	7	0	2	17	0	3	1	3	6	0	1	2	9	10	2	1	1	2	4	6	8	4	9	4	2	2	1	0	0	2	5	2	5	1	3	1	0	1	4	3	5	6	1	1	0	0	2	4	1	4	6	5	1	2	4	0	5	1	7	0	0	1	5	0	9	9	3	1	0	2	2	5	0	4	5	0	0	1	4	3	7	4	4	1	1	3	6	5	6	0	0	5	0	2	1	0	1	0	3	2	4	0	4	0	3	1	2	2	7	5	4	1	0	1	1	0	4	4	2	3	1	1	2	1	4	0	7	1	2	18	0	3	0	2	18	0	3	2	3	9	4	0	1	14	3	1	0	3	2	2	0	2	1	0	3	3	0	2	0	0	4	7	1	9	3	1	7	1	0	1	1	2	6	3	0	0	1	0	5	0	0	1	2	4	8	3	3	3	1	1	3	0	2	0	7	2	0	0	4	0	1	6	0	0	0	2	2	18	3	0	0	3	19	19	4	3	5	0	4	2	0	0	2	0	0	2	1	2	26	2	2	4	2	0	1	5	0	0	1	1	0	41	0	2	4	2	22	7	2	0	0	2	7	2	3	1	2	2	0	3	3	0	10	3	0	2	2	4	0	0	0	3	52	0	1	3	9	1	0	1	2	0	3	1	1	1	4	0	0	1	1	0	0	0	0	1	1	13	0	2	0	1	1	1	5	1	3	0	2	2	6	0	2	2	4	1	3	2	4	2	0	0	2	2	1	0	3	4	7	2	2	0	1	1	8	2	0	1	0	1	2	0	0	0	8	2	1	4	1	1	5	0	1	1	14	2
